Region,Birth Rate,CO2 Emissions,Energy Usage,GDP,Health Exp/Capita,Lending Interest,Life Expectancy Female,Life Expectancy Male,Population Total
Asia,0.015,29508,11296,5272617196,30,0.197,70,64,8048600
Asia,0.027,27869,18591,47124925462,10,0.155,66,65,132383265
Asia,0.028,400,,439158233,52,0.16,60,60,564350
Asia,0.023,6527,2385,6001153318,543,0.055,78,74,331801
Asia,0.028,1977,3412,3654031716,19,,65,59,12222871
Asia,0.014,3405180,1161353,1198470000000,43,0.059,74,71,1262645000
Asia,0.012,4536,2869,3057453461,45,0.247,75,68,4418300
Asia,0.008,40465,13392,171668000000,,0.095,84,78,6665000
Asia,0.026,1186663,457198,476609000000,20,0.123,63,61,1042261758
Asia,0.022,263419,154768,165021000000,15,0.185,69,65,208938698
Asia,0.009,1219589,518964,4731200000000,2834,0.021,85,78,126870000
Asia,0.015,127769,35679,18291990619,52,,71,60,14883626
Asia,0.018,76699,19717,,,,69,61,22840225
Asia,0.013,447561,188161,561633000000,491,0.085,80,72,47008111
Asia,0.02,4529,2317,1369691955,13,0.519,72,65,4898400
Asia,0.031,972,,1731198022,11,0.32,63,60,5388281
Asia,0.009,1635,,6101794939,,0.099,80,75,431907
Asia,0.023,126603,47110,93789473684,120,0.077,75,71,23420751
Asia,0.025,499,,624337144,162,0.13,70,69,272745
Asia,0.019,7506,2397,1136896162,22,0.37,66,60,2397473
Asia,0.021,10088,12841,,3,0.153,64,60,48453000
Asia,0.033,3234,8108,5494252208,12,0.095,63,61,23184177
Asia,0.031,106449,64067,73952374970,15,,65,63,143832014
Asia,0.03,73307,39872,81026294681,33,0.109,70,64,77651848
Asia,0.012,49006,18692,95835970989,662,0.058,80,76,4027900
Asia,0.018,10161,8327,16330810304,32,0.162,75,68,19102000
Asia,0.03,2237,2149,860550294,6,0.256,68,60,6186152
Asia,0.015,188355,72284,122725000000,67,0.078,75,67,62343379
Asia,0.043,,,350100000,19,,61,58,853585
Asia,0.024,35365,14871,2904662605,44,,68,60,4501419
Asia,0.021,119951,50757,13760374488,29,,70,64,24650400
Asia,0.017,53645,28736,33640085728,20,0.106,78,69,77630900
Europe,0.019,3022,1763,3686649387,70,0.221,77,71,3089027
Europe,0.011,524,,1133644295,1330,,,,65399
Europe,0.01,63696,28558,192071000000,2403,,81,75,8011566
Europe,0.009,53469,24695,12736856485,64,0.677,75,63,10005000
Europe,0.011,115709,58508,232673000000,1845,0.08,81,75,10251250
Europe,0.01,23223,4346,5505984456,103,0.305,77,72,3834364
Europe,0.009,43531,18688,12903546765,98,0.113,75,68,8170172
Europe,0.01,19644,7790,21517784659,377,0.121,77,69,4426000
Europe,0.013,6850,2137,9314937556,744,0.08,80,76,943287
Europe,0.009,124649,40993,58807244368,361,0.072,78,72,10255063
Europe,0.013,47260,18634,160083000000,2613,0.081,79,74,5339616
Europe,0.01,15181,4715,5675697575,213,0.074,76,65,1396985
Europe,,711,,1062339944,,,82,76,46491
Europe,0.011,52141,32233,121794000000,1700,0.056,81,74,5176209
Europe,0.013,365560,251981,1326330000000,2209,0.067,83,75,60911057
Europe,0.009,829978,336584,1886400000000,2387,0.096,81,75,82211508
Europe,0.01,91616,27086,124418000000,918,0.123,81,75,10917482
Europe,0.01,57238,24999,46385589534,326,0.126,76,67,10210971
Europe,0.014,2164,3100,8697298234,2961,0.168,82,78,281205
Europe,0.014,41345,13574,97331522066,1572,0.048,79,74,3805174
Europe,,,,1563667800,,,,,76806
Europe,0.01,451441,171522,1104010000000,1527,0.07,83,77,56942108
Europe,0.023,,1545,1849196082,,,70,66,1700000
Europe,0.009,6241,3832,7833068425,197,0.119,76,65,2367550
Europe,0.013,,,2483890594,,,80,74,33093
Europe,0.01,12200,7131,11434200000,212,0.121,78,67,3499536
Europe,0.013,8240,3335,20267551133,3495,,81,75,436300
Europe,0.013,12064,2668,3586883989,153,0.189,76,71,2052129
Europe,0.012,2065,676,3957418083,643,0.073,80,76,381363
Europe,0.012,3513,2883,1288420223,24,0.338,71,63,3639592
Europe,,,,2647883820,2685,,,,32081
Europe,0.013,,,984279596,121,,77,71,611196
Europe,0.013,165363,73223,385075000000,1932,0.048,81,76,15925513
Europe,0.013,38808,26092,168289000000,3432,0.089,81,76,4490967
Europe,0.01,301691,89116,171276000000,247,0.2,78,70,38258629
Europe,0.012,62966,24673,117300000000,1070,,80,73,10289898
Europe,0.01,89985,36228,37305099928,72,0.539,75,68,22442971
Europe,0.009,1558112,619265,259708000000,96,0.244,72,59,146596870
Europe,,,,773907642,2161,0.092,84,77,26969
Europe,0.01,,13728,6082791506,51,0.063,75,70,7516346
Europe,0.01,37312,17743,28724041828,208,0.149,77,69,5388720
Europe,0.009,14265,6413,19979467790,831,0.158,79,72,1988925
Europe,0.01,294434,121856,580345000000,1045,0.052,83,76,40263216
Europe,0.01,49794,47556,247260000000,2282,0.058,82,77,8872109
Europe,0.011,39050,25005,256043000000,3541,0.043,83,77,7184250
Europe,0.021,216148,76348,266568000000,196,,74,66,63174483
Europe,0.008,320774,133794,31261527363,36,0.415,74,62,49175848
Europe,0.012,543662,222940,1493630000000,1761,0.06,80,75,58892514
Middle East,0.021,18643,5865,9063147901,476,0.116,76,74,668239
Middle East,0.019,372703,122983,101287000000,231,,71,69,65911052
Middle East,0.036,72445,25937,,7,,73,69,23801156
Middle East,0.022,62691,18234,124895000000,1454,0.128,81,77,6289000
Middle East,0.031,15508,4864,8457923945,171,0.118,73,70,4797000
Middle East,0.024,55181,18805,37718011469,494,0.089,74,72,1906231
Middle East,0.019,15354,4907,17260364842,579,0.182,76,73,3235380
Middle East,0.024,21896,8083,19867880550,264,0.101,74,70,2192535
Middle East,0.019,34730,10876,17759889598,652,,78,76,593693
Middle East,0.027,296935,101325,188442000000,398,,74,71,20144584
Middle East,0.03,51048,15765,19325894913,59,0.09,75,72,16371208
Middle East,0.017,112562,33944,104337000000,752,0.097,75,73,3026352
Middle East,0.039,14639,4747,9636342275,25,0.195,62,59,17522537
Oceania,,,,,,,,,57522
Oceania,0.013,329605,108110,415208000000,1713,0.093,82,77,19153000
Oceania,0.025,865,,1684109743,80,0.084,70,65,811647
Oceania,0.02,631,,3447543138,,,75,70,237267
Oceania,0.022,,,,,,78,73,155328
Oceania,0.029,33,,67512715,65,,68,62,82788
Oceania,,77,,110937729,466,,68,63,52161
Oceania,0.03,136,,233226323,170,0.153,68,67,107430
Oceania,0.021,2299,,2682347064,,,78,72,213230
Oceania,0.015,32897,17056,52011621745,1052,0.078,81,76,3857700
Oceania,0.035,2688,,3521348155,26,0.175,61,57,5379226
Oceania,0.031,139,,239698992,80,,73,66,174614
Oceania,0.036,165,,435101217,48,0.146,64,62,412336
Oceania,0.028,121,,188623258,92,0.113,73,69,97962
Oceania,0.032,81,,272014693,52,0.099,69,66,185058
The Americas,0.02,345,,787693391,408,0.122,76,71,77648
The Americas,0.019,141077,60954,344273000000,710,0.111,78,70,36903067
The Americas,0.014,2233,,1873452514,,0.121,76,71,90858
The Americas,0.018,1668,,6327552000,1107,0.06,75,69,297759
The Americas,0.013,1188,,3119500000,602,0.102,75,71,267190
The Americas,0.029,689,,831750000,139,0.16,74,67,238586
The Americas,0.014,495,,3480219000,,,81,75,61833
The Americas,0.031,10224,3737,8397858185,60,0.346,65,61,8495271
The Americas,0.021,327984,187442,644702000000,265,0.568,74,67,174504898
The Americas,0.011,534484,251450,739456000000,2090,0.073,82,77,30769700
The Americas,,455,,,,,,,41685
The Americas,0.017,58694,25174,79328640264,390,0.148,80,74,15454402
The Americas,0.023,57924,25814,99886577576,148,0.188,75,67,39897984
The Americas,0.02,5475,2874,15946443103,287,0.249,80,75,3929588
The Americas,0.013,26039,12859,30565200000,166,,79,75,11138416
The Americas,,,,,,,,,133860
The Americas,,103,,324463833,231,0.117,,,69679
The Americas,0.025,20117,7499,23996656676,173,0.268,74,68,8663421
The Americas,0.025,20942,7815,18327386416,53,0.171,76,71,12533087
The Americas,0.025,5743,3968,13134100000,179,0.14,74,65,5958794
The Americas,0.016,532,,1068024994,,,70,64,56200
The Americas,0.019,191,,523256355,339,0.116,73,68,101620
The Americas,0.037,9916,7041,19290566570,96,0.209,71,64,11204183
The Americas,0.022,1610,,712667925,56,0.173,67,60,744471
The Americas,0.031,1368,2010,3664503846,26,0.314,59,56,8578234
The Americas,0.032,5031,2990,7105529647,76,0.268,73,68,6235561
The Americas,0.021,10319,3829,9008629729,189,0.233,73,68,2589389
The Americas,0.024,381518,145384,683648000000,328,0.169,77,72,103873607
The Americas,0.028,3762,2522,5107329010,54,0.181,72,67,5100920
The Americas,0.024,5790,2569,11620500000,295,0.105,78,73,3054812
The Americas,0.028,3689,3850,8195993231,124,0.268,72,68,5350253
The Americas,0.024,30297,12222,50681123109,96,0.3,73,68,26000080
The Americas,0.016,,,61701810000,,,81,73,3810605
The Americas,,,,,,,,,30519
The Americas,,103,,416566954,392,0.111,,,45544
The Americas,0.02,330,,764457723,272,0.131,73,70,156949
The Americas,0.017,,,,,,80,74,28384
The Americas,0.02,158,,397447007,137,0.115,73,68,107897
The Americas,0.023,2127,,892164364,167,0.29,71,65,466668
The Americas,0.015,24514,10854,8154315708,260,0.165,72,65,1267980
The Americas,,15,,,,,,,18876
The Americas,0.014,5713560,2273332,10289700000000,4790,0.092,79,74,282162411
The Americas,0.016,5306,3092,22823255806,773,0.461,78,71,3320841
The Americas,0.024,152415,56424,117148000000,273,0.252,75,70,24407553
The Americas,0.014,,,,,,80,73,108639
Africa,0.019,84293,27072,54744716706,65,0.095,71,68,32150198
Africa,0.05,9732,7883,8936079253,36,0.96,47,45,14385283
Africa,0.042,1738,2109,2499269391,16,,57,54,7174911
Africa,0.027,4334,1868,5489646903,175,0.158,51,48,1783349
Africa,0.046,997,,2812845486,12,,52,50,11946080
Africa,0.042,216,,876794723,7,0.168,50,47,6839376
Africa,0.041,3421,6384,9633109257,27,0.207,53,51,16350440
Africa,0.039,246,,931833294,10,0.207,45,42,3704045
Africa,0.051,172,,1709347777,12,0.207,48,46,8620917
Africa,0.039,88,,220115655,11,0.12,60,57,541976
Africa,0.047,1566,17242,7438189100,6,,48,45,48167045
Africa,0.039,862,884,2794259756,21,0.207,54,51,3205636
Africa,0.038,7726,6483,10545285037,34,,47,46,16420173
Africa,0.03,385,,572417441,41,0.115,59,56,733732
Africa,0.025,125452,45698,97632008051,76,0.133,71,66,67204189
Africa,0.039,3095,,1461139008,50,0.207,49,47,534592
Africa,0.04,631,742,752368494,7,,59,54,4101609
Africa,0.043,4309,26171,8080496318,6,0.109,54,52,67956866
Africa,0.034,1782,1579,4712849280,125,0.207,61,58,1255299
Africa,0.045,282,,687410629,25,0.24,57,54,1266691
Africa,0.034,6920,8045,5314871684,15,,58,56,19293392
Africa,0.042,1298,,2833442750,19,,51,51,8895353
Africa,0.041,150,,384270400,15,,53,51,1301748
Africa,0.039,9369,14259,12985991723,19,0.197,54,52,32126351
Africa,0.031,,,706430933,28,0.166,46,45,1871500
Africa,0.042,502,,515000000,11,0.221,53,52,2998770
Africa,0.022,48100,16361,28420321952,261,0.07,74,71,5258677
Africa,0.04,1742,,4529575233,14,0.253,60,58,16235767
Africa,0.045,906,,1716502069,8,0.562,46,46,11623166
Africa,0.048,546,,2629739067,18,,49,50,10562768
Africa,0.038,1349,,1295536829,19,0.225,61,58,2791403
Africa,0.016,2967,,4536544699,147,0.211,75,68,1199881
Africa,0.021,37715,10894,37724674865,58,0.133,70,67,29021156
Africa,0.045,1580,7547,4075049537,12,0.227,49,46,18785719
Africa,0.031,2017,1127,3546791603,113,0.145,56,52,1931282
Africa,0.053,759,,1945327546,12,,51,51,11396434
Africa,0.043,83351,94633,44138014092,18,0.234,47,46,126004992
Africa,0.04,689,,1674685126,8,0.173,50,48,8760003
Africa,0.037,51,,76553443,52,0.37,65,62,141783
Africa,0.04,4331,2592,4877602012,24,,60,57,10119118
Africa,0.018,642,,618433501,356,0.106,,,81202
Africa,0.044,568,,1079478388,40,0.243,40,38,4295667
Africa,0.048,502,,,,,53,50,7609265
Africa,0.024,362743,112399,118479000000,223,0.138,57,53,44909738
Africa,0.042,,,,,,51,48,6924455
Africa,0.039,6370,13988,13182872555,16,,60,57,28434810
Africa,0.032,1144,,1349326983,65,0.133,48,47,1074761
Africa,0.042,3128,14203,10383560998,11,0.201,51,50,34895398
Africa,0.039,1162,2106,1332328986,14,,54,53,4992225
Africa,0.017,20818,7711,22066101341,122,,75,71,9673600
Africa,0.048,1621,,5840503703,17,0.227,49,49,25088033
Africa,0.045,1907,6430,3653822712,21,0.462,43,42,10362137
Africa,0.032,12563,9690,6777384733,,0.38,43,43,12586763
Asia,0.049,645,,2461666315,,,56,54,21347782
Asia,0.013,3542,2006,2118467913,41,0.267,75,68,3059960
Asia,0.014,28771,11445,5707618247,31,0.197,70,64,8111200
Asia,0.026,32457,20223,46987842847,10,0.158,66,66,134729503
Asia,0.027,389,,476360697,51,0.158,61,61,580888
Asia,0.022,6197,2208,5601090584,525,0.055,78,74,339114
Asia,0.027,2252,3430,3979813388,20,,66,60,12472586
Asia,0.013,3487566,1186797,1324810000000,47,0.059,74,71,1271850000
Asia,0.012,3770,2570,3219487823,54,0.223,76,68,4386400
Asia,0.007,37972,14145,169403000000,,0.051,85,78,6714300
Asia,0.025,1203843,464501,493954000000,21,0.121,64,61,1059500888
Asia,0.021,294907,158963,160447000000,17,0.185,70,66,211970371
Asia,0.009,1202266,510791,4159860000000,2554,0.02,85,78,127149000
Asia,0.015,147908,34493,22152689130,53,,71,61,14858335
Asia,0.017,79475,20369,,,,70,62,23043449
Asia,0.012,450194,191046,533052000000,528,0.077,80,73,47357362
Asia,0.02,3781,2151,1525113501,15,0.373,73,65,4945100
Asia,0.03,902,,1768619058,13,0.262,64,61,5470169
Asia,0.008,1687,,6514271488,,0.08,80,76,438080
Asia,0.022,136717,49255,92783947368,130,0.071,75,71,23925742
Asia,0.023,576,,802442810,153,0.13,72,70,277825
Asia,0.019,7884,2415,1267997923,24,0.374,67,60,2419669
Asia,0.02,8724,12547,,2,0.15,64,60,48894203
Asia,0.032,3454,8375,6007061224,13,0.077,64,62,23655119
Asia,0.03,108283,65091,72309738921,13,,65,63,146857081
Asia,0.029,71052,38202,76261998623,29,0.124,70,64,79297756
Asia,0.012,49541,21229,89285087395,526,0.056,80,76,4138000
Asia,0.018,10246,8050,15746224410,31,0.194,76,68,18797000
Asia,0.03,2292,2122,1080774006,8,0.211,68,60,6289340
Asia,0.014,202132,74385,115536000000,61,0.073,75,67,63069070
Asia,0.041,,,429700000,20,,62,59,871353
Asia,0.023,39270,15153,3534771969,58,,68,60,4551762
Asia,0.021,122038,51070,11401351420,24,,70,64,24964450
Asia,0.017,61140,30646,35291349277,22,0.094,79,69,78621000
Europe,0.018,3223,1783,4091020249,75,0.197,78,72,3064111
Europe,0.012,524,,1264760246,1294,,,,68000
Europe,0.009,65716,30177,191679000000,2406,,82,76,8042293
Europe,0.009,52596,24785,12354820144,83,0.47,75,63,9928000
Europe,0.011,114766,58391,232486000000,1878,0.085,81,75,10286570
Europe,0.01,20700,4201,5748990555,108,,77,73,3879353
Europe,0.009,46454,19416,13868600710,129,0.111,75,69,8020282
Europe,0.009,20715,7948,23052044813,376,0.095,78,71,4440000
Europe,0.013,6846,2114,9679304971,776,0.075,80,76,961481
Europe,0.009,124407,42078,64375288107,403,0.072,78,72,10216605
Europe,0.012,49035,19203,160476000000,2730,0.082,79,75,5358783
Europe,0.009,15596,4919,6240147810,218,0.078,76,65,1388115
Europe,,792,,1154899793,,,82,77,47135
Europe,0.011,56424,33150,124643000000,1786,0.058,82,75,5188008
Europe,0.013,385827,260565,1338300000000,2241,0.07,83,76,61355725
Europe,0.009,853663,346679,1880890000000,2402,0.1,81,76,82349925
Europe,0.009,93806,28004,129842000000,1055,0.086,81,76,10951764
Europe,0.01,57022,25591,52720966883,374,0.121,77,68,10187576
Europe,0.014,2101,3238,7922983043,2612,0.18,83,78,284968
Europe,0.015,44151,14432,105167000000,1848,0.048,80,75,3866243
Europe,,,,1614595291,,,,,77616
Europe,0.009,450348,172142,1123700000000,1590,0.073,83,77,56974100
Europe,0.022,,1902,2535333632,,,70,66,1701154
Europe,0.008,6854,4111,8313047744,215,0.112,77,65,2337170
Europe,0.012,,,2491800559,,,82,76,33475
Europe,0.009,12919,8277,12159225000,220,0.096,78,66,3470818
Europe,0.012,8801,3509,20196868009,3405,,81,75,441525
Europe,0.012,11998,2577,3436961385,141,0.194,76,71,2065098
Europe,0.01,2486,787,3917620728,675,0.069,81,77,393028
Europe,0.012,3715,3052,1480656884,29,0.287,71,63,3631462
Europe,,,,2671401083,2718,,,,32366
Europe,0.013,,,1159891560,160,,77,71,611525
Europe,0.013,167274,75614,400654000000,2079,0.05,81,76,16046180
Europe,0.013,41092,26823,170923000000,3705,0.087,82,76,4513751
Europe,0.01,302806,89733,190421000000,292,0.184,78,70,38248076
Europe,0.011,62863,24815,120332000000,1087,,80,73,10362722
Europe,0.01,95672,36819,40585886769,79,0.454,75,68,22131970
Europe,0.009,1558013,626014,306603000000,119,0.179,72,59,145976473
Europe,,,,815205233,2183,0.088,84,78,27467
Europe,0.011,,14965,11390468619,84,0.345,75,70,7503433
Europe,0.01,39358,18593,30318731991,216,0.112,78,70,5378867
Europe,0.009,15163,6732,20498926981,883,0.151,80,72,1992060
Europe,0.01,297830,125038,608856000000,1089,0.052,83,76,40756001
Europe,0.01,51129,50532,227359000000,2268,0.056,82,78,8895960
Europe,0.01,42963,26557,262647000000,3748,0.043,83,77,7229854
Europe,0.021,194538,70402,196005000000,148,,74,67,64100297
Europe,0.008,321651,134096,38009344577,44,0.323,74,63,48683865
Europe,0.011,550552,223770,1485150000000,1819,0.051,80,76,59119673
Middle East,0.021,13927,6069,8976446420,488,0.107,76,74,698749
Middle East,0.018,398827,133435,115438000000,294,,71,69,66857624
Middle East,0.036,85342,26935,,8,,73,69,24516842
Middle East,0.021,65749,19143,122941000000,1499,0.1,81,78,6439000
Middle East,0.031,16003,4818,8972965061,184,0.109,73,71,4917000
Middle East,0.023,55122,20067,34890773740,634,0.079,74,73,1980604
Middle East,0.018,16208,5258,17649751244,571,0.172,77,73,3357600
Middle East,0.023,20286,8420,19949284975,263,0.092,75,71,2239025
Middle East,0.019,30363,12452,17538461033,732,,78,76,611808
Middle East,0.026,297214,106657,183012000000,397,,75,71,20891594
Middle East,0.03,48786,15638,21099833784,58,0.09,75,72,16700984
Middle East,0.016,101415,37365,103312000000,815,0.081,76,74,3132104
Middle East,0.039,16252,5265,9854042165,27,0.175,62,59,18029989
Oceania,,,,,,,,,58176
Oceania,0.013,324860,105751,378642000000,1632,0.087,82,77,19413000
Oceania,0.024,1115,,1660102346,67,0.083,70,65,814700
Oceania,0.02,737,,,,,76,70,241276
Oceania,0.021,,,,,,78,73,156417
Oceania,0.028,26,,63101272,67,,68,62,84261
Oceania,,81,,115152143,412,,,,52184
Oceania,0.029,176,,240051900,190,0.153,68,67,107170
Oceania,0.02,1907,,,,,78,72,217324
Oceania,0.014,34510,17120,53305639461,1052,0.076,81,76,3880500
Oceania,0.035,3231,,3081029666,25,0.162,61,57,5518971
Oceania,0.03,143,,243324190,79,,73,67,175567
Oceania,0.035,172,,400464593,61,0.146,65,62,423529
Oceania,0.028,143,,167042880,96,0.113,73,69,98504
Oceania,0.032,88,,257926882,50,0.088,70,66,189285
The Americas,0.02,345,,778311557,429,0.116,76,71,78972
The Americas,0.018,132632,57835,325488000000,676,0.277,78,70,37273361
The Americas,0.014,2237,,1920262570,,0.121,76,71,92894
The Americas,0.017,1569,,6516651000,1107,0.06,76,70,303005
The Americas,0.013,1221,,3112350000,635,0.096,76,71,268296
The Americas,0.029,711,,871840755,160,0.155,74,67,245198
The Americas,0.013,495,,3680483000,,,81,75,62504
The Americas,0.031,9824,2903,8141513292,59,0.201,65,61,8669066
The Americas,0.02,337434,190712,553582000000,228,0.576,74,67,176968205
The Americas,0.011,525690,247878,732717000000,2152,0.058,82,77,31081900
The Americas,,455,,,,,,,43317
The Americas,0.016,52757,24697,72336972322,348,0.119,80,74,15639289
The Americas,0.023,56274,25708,98203544965,144,0.207,75,68,40558648
The Americas,0.02,5761,2889,16403602943,291,0.238,80,76,4013488
The Americas,0.013,25453,12588,31683300000,178,,79,75,11175465
The Americas,,,,,,,,,128905
The Americas,,114,,330949850,236,0.111,,,69660
The Americas,0.025,20235,7291,24894907435,173,0.243,74,68,8799298
The Americas,0.025,23447,8442,24468324000,77,0.162,77,71,12780869
The Americas,0.024,5948,4151,13812700000,184,,75,65,5985299
The Americas,0.017,539,,1086170639,,,70,65,56350
The Americas,0.019,194,,523279846,392,0.102,73,68,101849
The Americas,0.036,10627,7188,18702820735,105,0.19,72,65,11478984
The Americas,0.022,1595,,696281469,54,0.17,67,60,747657
The Americas,0.031,1569,2054,3507981946,23,0.34,59,56,8720247
The Americas,0.031,5713,3224,7566517572,83,0.238,73,68,6365040
The Americas,0.019,10627,3841,9104515930,178,0.206,74,68,2605556
The Americas,0.024,394800,146302,724704000000,373,0.128,77,72,105339877
The Americas,0.027,3964,2544,5323146568,54,0.186,73,67,5176685
The Americas,0.024,7008,2816,11807500000,293,0.11,78,73,3116409
The Americas,0.028,3821,3919,7662595076,107,0.283,73,68,5460621
The Americas,0.024,27165,11795,51295103189,96,0.25,74,68,26372358
The Americas,0.015,,,69668635000,,,81,73,3818774
The Americas,,,,,,,,,31189
The Americas,0.017,183,,455905602,378,0.111,,,46214
The Americas,0.019,363,,708290496,278,0.13,74,70,158650
The Americas,0.017,,,,,,81,74,27782
The Americas,0.019,180,,431017935,145,0.116,73,68,107989
The Americas,0.022,2266,,763465571,136,0.257,72,65,473312
The Americas,0.015,25024,11762,8824873156,305,0.157,72,65,1272347
The Americas,,15,,,,,,,20186
The Americas,0.014,5601405,2230817,10625300000000,5138,0.069,79,74,284968955
The Americas,0.016,5090,2712,20898788420,703,0.486,79,71,3326762
The Americas,0.023,172525,57871,122910000000,295,0.225,76,70,24870441
The Americas,0.013,,,,,,81,75,108386
Africa,0.019,90854,28773,56760288962,65,0.086,71,68,32572977
Africa,0.05,12666,8304,12497346043,33,0.973,48,45,14886574
Africa,0.042,2054,2262,2807657386,16,,58,54,7414744
Africa,0.026,4485,1916,5438856515,193,0.162,49,48,1808976
Africa,0.046,1005,,3205592273,13,,52,50,12296399
Africa,0.043,220,,825394484,6,0.195,50,48,7037727
Africa,0.041,3418,6518,10879778328,31,0.18,53,51,16782044
Africa,0.039,246,,991387865,11,0.18,46,42,3767248
Africa,0.051,169,,1987622269,18,0.18,48,46,8959964
Africa,0.039,92,,251162421,15,0.12,60,57,556028
Africa,0.047,1544,17841,8728037672,5,,48,46,49516960
Africa,0.039,708,869,3019993723,23,0.18,54,52,3283719
Africa,0.038,7286,6946,11486664265,33,,47,46,16674987
Africa,0.029,400,,591122040,42,0.113,59,56,744434
Africa,0.024,127194,47162,87850680573,74,0.138,71,67,68302914
Africa,0.039,4980,,1806742733,71,0.18,49,47,551399
Africa,0.04,605,748,729321364,6,,59,55,4281576
Africa,0.042,4481,26867,7707034813,5,0.087,55,53,69948344
Africa,0.033,1778,1583,4931503836,142,0.18,61,58,1285318
Africa,0.045,315,,578235310,17,0.24,57,55,1306667
Africa,0.034,7437,8264,6166197192,15,,58,57,19786307
Africa,0.041,1324,,2949637039,20,,51,51,9045748
Africa,0.041,154,,406669723,17,,53,51,1330849
Africa,0.039,7968,14454,13147736954,18,0.185,54,52,33000524
Africa,0.03,,,656802669,24,0.171,45,44,1885487
Africa,0.042,502,,536000000,9,0.202,54,52,3070673
Africa,0.023,47832,16951,19842519685,185,0.07,74,71,5340389
Africa,0.04,1236,,4397254715,14,0.253,61,59,16736029
Africa,0.044,884,,2665158943,11,0.505,47,47,11926778
Africa,0.048,554,,3342824260,19,,50,50,10882662
Africa,0.038,1434,,1324424463,24,0.21,61,58,2877431
Africa,0.017,2981,,4767303153,168,0.21,76,69,1210196
Africa,0.021,38254,11079,40416114690,73,0.131,70,67,29311443
Africa,0.045,1588,7645,4201332885,14,0.267,49,46,19319894
Africa,0.031,1760,1010,3361236321,106,0.138,56,52,1958303
Africa,0.052,814,,2170481498,12,,52,52,11817297
Africa,0.043,98125,97389,59116868250,18,0.248,48,47,129224641
